CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL538137	*	4.7
CHEMBL384467	4.5	*
CHEMBL2348780	*	4.7
CHEMBL1556023	6.4	*
CHEMBL1322711	5.5	*
CHEMBL1358200	4.9	*
CHEMBL1393926	5.3	*
CHEMBL1493308	5.8	*
CHEMBL1568520	4.9	*
CHEMBL1490299	4.5	*
CHEMBL1405339	4.9	*
CHEMBL1483422	5.6	*
CHEMBL1326251	5.4	*
CHEMBL1405649	5.3	*
CHEMBL1489140	4.7	*
CHEMBL1488520	4.8	*
CHEMBL3291398	5.33	*
CHEMBL3291120	5.71	*
CHEMBL3291118	5.87	*
CHEMBL3291124	6.62	*
CHEMBL3291127	6.87	*
CHEMBL3291395	5.72	*
CHEMBL3291394	5.91	*
CHEMBL2022500	*	5.1
CHEMBL1519490	5.4	*
CHEMBL1592500	5.4	*
CHEMBL1603100	5.4	*
CHEMBL2373639	5.5	*
CHEMBL3235265	5.4	*
CHEMBL3394842	4.6	*
CHEMBL567597	4.6	*
CHEMBL1455972	5.3	*
CHEMBL1324434	5.6	*
CHEMBL3112867	4.4	*
CHEMBL1355982	5.3	*
CHEMBL249292	6.1	*
CHEMBL3417071	*	6.22
CHEMBL1329517	4.6	*
CHEMBL1316456	5.4	*
CHEMBL2031876	*	4.98
CHEMBL1934525	*	5.51
CHEMBL1934521	*	5.11
CHEMBL558923	*	5.11
CHEMBL561279	*	5.93
CHEMBL1823053	*	5.16
CHEMBL562629	*	5.96
CHEMBL564380	*	5.44
CHEMBL560140	*	5.02
CHEMBL563118	*	6.13
CHEMBL552279	*	6.53
CHEMBL559118	*	4.89
CHEMBL558260	*	5.59
CHEMBL558456	*	6.24
CHEMBL558655	*	5.09
CHEMBL1086033	*	4.27
CHEMBL1085325	*	5.17
CHEMBL1085591	*	4.6
CHEMBL1084826	*	4.4
CHEMBL1084385	*	5.1
CHEMBL1085396	*	5.8
CHEMBL1085398	*	5.19
CHEMBL1085397	*	5.22
